city_ID;City_name;population
880;Dentlein a. Forst;0
881;Colmberg;0
882;Burk;0
883;Burgoberbach;0
884;Burgbernheim;0
885;Buch a. Wald;0
886;Bruckberg;0
887;Aurach;0
888;Adelshofen;0
889;Lichtenau;0
890;Schillingsfürst;0
891;Petersaurach;0
892;Leutershausen;0
893;Windsbach;0
894;Bechhofen;0
895;Herrieden;0
896;Neuendettelsau;0
897;Heilsbronn;0
898;Rothenburg ob der Tauber;0
899;Ansbach;0
900;Wilhelmsdorf;0
901;Vestenbergsgreuth;0
902;Uehlfeld;0
903;Sugenheim;0
904;Oberscheinfeld;0
905;Münchsteinach;0
906;Markt Taschendorf;0
907;Markt Nordheim;0
908;Markt Bibart;0
909;Lonnerstadt;0
910;Langenfeld;59378
911;Ipsheim;0
912;Illesheim;0
913;Hagenbüchach;0
914;Gutenstetten;0
915;Gerhardshofen;0
916;Ergersheim;0
917;Dietersheim;0
918;Dachsbach;0
919;Baudenbach;0
920;Markt Erlbach;0
921;Diespeck;0
922;Wilhermsdorf;0
923;Emskirchen;0
924;Scheinfeld;0
925;Bad Windsheim;0
926;Neustadt a.d.Aisch;0
927;Wiesenthau;0
928;Weißenohe;0
929;Weilersbach;0
930;Unterleinleiter;0
931;Pretzfeld;0
932;Pinzberg;0
933;Leutenbach;0
934;Kunreuth;0
935;Kirchehrenbach;0
936;Hiltpoltstein;0
937;Hallerndorf;0
938;Gremsdorf;0
939;Egloffstein;0
940;Aufseß;0
941;Wiesenttal;0
942;Waischenfeld;0
943;Röttenbach;0
944;Igensdorf;0
945;Heroldsbach;0
946;Hemhofen;0
947;Heiligenstadt i. OFr.;0
948;Eggolsheim;0
949;Adelsdorf;0
950;Gräfenberg;0
951;Ebermannstadt;0
952;Forchheim;0
953;Schnabelwaid;0
954;Plech;0
955;Obertrubach;0
956;Betzenstein;0
957;Kirchenthumbach;0
958;Weigendorf;0
959;Vorra;0
960;Simmelsdorf;0
961;Reichenschwand;0
962;Ottensoos;0
963;Kirchensittenbach;0
964;Henfenfeld;0
965;Engelthal/Offenhausen;0
966;Alfeld;0
967;Velden/Hartenstein;0
968;Neunkirchen am Sand;0
969;Happurg;0
970;Leinburg;0
971;Pommelsbrunn;0
972;Hersbruck;0
973;Rohr;0
974;Büchenbach;0
975;Abenberg;0
976;Heideck;0
977;Thalmässing;0
978;Spalt;0
979;Greding;0
980;Georgensgmünd;0
981;Hilpoltstein;0
982;Poxdorf;0
983;Oberreichenbach;0
984;Möhrendorf/Mark;0
985;Langensendelbach;0
986;Heßdorf;0
987;Großenseebach;0
988;Effeltrich;0
989;Bubenreuth;0
990;Aurachtal;0
991;Weisendorf;0
992;Baiersdorf;0
993;Uttenreuth, Marloffstein;0
994;Neunkirchen a. Brand;0
995;Herzogenaurach;0
996;Erlangen;102675
997;Fürth;0
998;Trautskirchen;0
999;Puschendorf;0
1000;Neuhof a.d.Zenn;0
1001;Ammerndorf;0
1002;Großhabersdorf;0
1003;Winkelhaid;0
1004;Rückersdorf;0
1005;Pyrbaum;0
1006;Dietenhofen;0
1007;Schwanstetten;0
1008;Schwarzenbruck;0
1009;Veitsbronn;0
1010;Allersberg;0
1011;Langenzenn;0
1012;Roßtal;0
1013;Schwaig b. Nürnberg, Behringersdorfer Forst;0
1014;Heroldsberg;0
1015;Burgthann;0
1016;Cadolzburg;0
1017;Röthenbach an der Pegnitz;0
1018;Stein;0
1019;Eckental;0
1020;Nürnberg-Feucht, Feuchter Forst;0
1021;Wendelstein;0
1022;Oberasbach;0
1023;Altdorf bei Nürnberg;0
1024;Zirndorf;0
1025;Nürnberg;0
1026;Unterstadion;0
1027;Untermarchtal;0
1028;Rottenacker;0
1029;Öpfingen;0
1030;Oberstadion;0
1031;Obermarchtal;0
1032;Oberdischingen;0
1033;Griesingen;0
1034;Emerkingen;0
1035;Altheim;0
1036;Allmendingen;0
1037;Schelklingen;0
1038;Munderkingen;0
1039;Ehingen (Donau), Lauterach;0
1040;Hermaringen;0
1041;Sontheim an der Brenz;0
1042;Nattheim;0
1043;Dischingen;0
1044;Böhmenkirch;0
1045;Steinheim am Albuch;0
1046;Königsbronn;0
1047;Gerstetten;0
1048;Herbrechtingen;0
1049;Giengen an der Brenz;0
1050;Heidenheim an der Brenz;50067
1051;Zöschingen;0
1052;Ziertheim;0
1053;Schwenningen;0
1054;Medlingen;0
1055;Lutzingen;0
1056;Holzheim;0
1057;Haunsheim;0
1058;Finningen;0
1059;Blindheim;0
1060;Bächingen a.d. Brenz;0
1061;Bachhagel;0
1062;Syrgenstein;0
1063;Wittislingen;0
1064;Gundelfingen a.d. Donau;0
1065;Höchstädt a.d. Donau;0
1066;Lauingen (Donau);0
1067;Dillingen a.d. Donau;0
1068;Winterbach;0
1069;Waldstetten;0
1070;Röfingen;0
1071;Offingen;0
1072;Landensberg;0
1073;Kötz;0
1074;Kammeltal;0
1075;Haldenwang;0
1076;Gundremmingen;0
1077;Glött;0
1078;Ellzee;0
1079;Dürrlauingen;0
1080;Burtenbach;0
1081;Bubesheim;0
1082;Bibertal;0
1083;Aislingen;0
1084;Jettingen-Scheppach;0
1085;Leipheim;0
1086;Ichenhausen;0
1087;Burgau;0
1088;Günzburg;0
1089;Unterroth;0
1090;Roggenburg;0
1091;Osterberg;0
1092;Oberroth;0
1093;Kellmünz a.d. Iller;0
1094;Buch;0
1095;Bellenberg;0
1096;Pfaffenhofen a.d. Roth;0
1097;Altenstadt;0
1098;Nersingen;0
1099;Elchingen;0
1100;Vöhringen;0
1101;Weißenhorn;0
1102;Illertissen;0
1103;Senden;0
1104;Neu-Ulm;51389
1105;Westerstetten;0
1106;Weidenstetten;0
1107;Staig;0
1108;Schnürpflingen;0
1109;Rammingen;0
1110;Nellingen;0
1111;Neenstetten;0
1112;Merklingen;0
1113;Illerrieden;0
1114;Hüttisheim;0
1115;Breitingen;0
1116;Bernstadt;0
1117;Berghülen;0
1118;Beimerstetten;0
1119;Ballendorf;0
1120;Asselfingen;0
1121;Altheim (Alb);0
1122;Lonsee;0
1123;Illerkirchberg;0
1124;Niederstotzingen;0
1125;Dietenheim;0
1126;Dornstadt;0
1127;Erbach;0
1128;Laichingen;0
1129;Blaubeuren;0
1130;Blaustein;0
1131;Langenau;0
1132;Ulm;120451
1133;Stetten;0
1134;Daisendorf;0
1135;Meersburg;0
1136;Frickingen;0
1137;Bermatingen;0
1138;Owingen;0
1139;Deggenhausertal;0
1140;Uhldingen-Mühlhofen;0
1141;Salem;0
1142;Markdorf;0
1143;Überlingen;0
1144;Leibertingen, Buchheim;0
1145;Illmensee;0
1146;Herdwangen-Schönach;0
1147;Heiligenberg;0
1148;Beuron;0
1149;Pfullendorf;0
1150;Meßkirch, Sauldorf;0
1151;Zwiefalten;0
1152;Unlingen;0
1153;Dürmentingen;0
1154;Uttenweiler;0
1155;Ertingen;0
