Street,City_Code,Price,Number of Rooms,Living Area,Land Size,URL
"Scheuerfeld, Coburg (96450)",354.000 € 2.011 €/m²,6 Zimmer,176 m²,563 m² Grundstück,https://www.immowelt.de/expose/4cb3db58-2d9e-479d-ac96-12ab1b15a2f8
"Innenstadt, Coburg (96450)",111.000 € 2.313 €/m²,2 Zimmer,48 m²,Unknown,https://www.immowelt.de/expose/217d31fe-9807-4ea9-9339-c1c80a58b27a
"Innenstadt, Coburg (96450)",124.500 € 2.147 €/m²,2 Zimmer,58 m²,Unknown,https://www.immowelt.de/expose/cf0b4e2f-943e-41ff-86a6-f97e83074c46
"Innenstadt, Coburg (96450)",495.000 € 2.415 €/m²,9 Zimmer,205 m²,479 m² Grundstück,https://www.immowelt.de/expose/21751678-7e4e-4a7d-8da4-1ef60bd1de1a
"Innenstadt, Coburg (96450)",188.000 € 3.615 €/m²,2 Zimmer,52 m²,2. Geschoss,https://www.immowelt.de/expose/bd23dac8-fcb1-4a88-a52c-c54b8389b917
"Innenstadt, Coburg (96450)",795.000 € 2.891 €/m²,8 Zimmer,275 m²,1.238 m² Grundstück,https://www.immowelt.de/expose/b04b39ab-2b15-44cf-87c5-fb1787cc7add
"Innenstadt, Coburg (96450)",124.500 € 2.147 €/m²,2 Zimmer,58 m²,Unknown,https://www.immowelt.de/expose/1109a4ad-62b2-450e-9edf-0b5782465d8e
"Innenstadt, Coburg (96450)",111.000 € 2.313 €/m²,2 Zimmer,48 m²,Unknown,https://www.immowelt.de/expose/0cffedb2-06d2-41b9-998d-eaae61d00dac
"Innenstadt, Coburg (96450)",499.800 € 4.783 €/m²,3 Zimmer,"104,5 m²",1. Geschoss,https://www.immowelt.de/expose/debf0b3f-2d63-4885-abfc-666251df7f9d
"Innenstadt, Coburg (96450)",165.000 € 1.269 €/m²,7 Zimmer,130 m²,470 m² Grundstück,https://www.immowelt.de/expose/96320c2e-a632-40c1-bef7-818f60ec35e7
"Seifartshofstraße xxx, Innenstadt, Coburg (96450)",124.500 € 2.147 €/m²,2 Zimmer,58 m²,Unknown,https://www.immowelt.de/expose/7dc523ed-5216-442f-8cde-699c45c7a116
"Seifartshofstraße xxx, Innenstadt, Coburg (96450)",111.000 € 2.313 €/m²,2 Zimmer,48 m²,Unknown,https://www.immowelt.de/expose/6f7d59a7-1489-4a58-b548-847e2d7b2fb6
"Innenstadt, Coburg (96450)",Preis auf Anfrage,"6,5 Zimmer",145 m²,470 m² Grundstück,https://www.immowelt.de/expose/a523f882-1d53-4baa-bad8-2799910a0a09
"Innenstadt, Coburg (96450)",349.000 € 2.685 €/m²,5 Zimmer,130 m²,300 m² Grundstück,https://www.immowelt.de/expose/b3d17a4a-b948-45da-a1f1-6d74b6d0db34
"Innenstadt, Coburg (96450)",380.000 € 1.583 €/m²,10 Zimmer,240 m²,800 m² Grundstück,https://www.immowelt.de/expose/75dccf06-d32d-4e6b-bc90-53d5d7dc880f
"Scheuerfeld, Coburg (96450)",225.000 € 1.500 €/m²,5 Zimmer,150 m²,568 m² Grundstück,https://www.immowelt.de/expose/5ac700f6-bc9e-43ef-b01e-a39921f761c8
"Scheuerfeld, Coburg (96450)",285.000 € 2.375 €/m²,5 Zimmer,120 m²,1.051 m² Grundstück,https://www.immowelt.de/expose/1db35c53-66f7-4ecc-b339-98573b4624a3
"Innenstadt, Coburg (96450)",98.000 € 2.722 €/m²,1 Zimmer,36 m²,2. Geschoss,https://www.immowelt.de/expose/ead4db77-6093-4f1c-abaf-ecd41544ab9e
"Innenstadt, Coburg (96450)",329.000 € 2.789 €/m²,"2,5 Zimmer",118 m²,3. Geschoss,https://www.immowelt.de/expose/a1764edd-680f-4fbe-8a27-dbf3332df440
"Wüstenahorn, Coburg (96450)",259.000 € 2.443 €/m²,4 Zimmer,106 m²,181 m² Grundstück,https://www.immowelt.de/expose/1d072977-5756-4a37-bb8b-b7d0e0afe439
"Ketschendorf, Coburg (96450)",209.000 € 1.802 €/m²,5 Zimmer,116 m²,251 m² Grundstück,https://www.immowelt.de/expose/624037b9-16a3-4dcc-937d-53a7c71a8fad
"Creidlitz, Coburg (96450)",690.000 € 3.067 €/m²,"6,5 Zimmer",225 m²,Unknown,https://www.immowelt.de/expose/655debec-1239-4279-b7ac-a76ee2ea60a4
"Ketschendorf, Coburg (96450)",279.000 € 3.224 €/m²,3 Zimmer,"86,5 m²",EG,https://www.immowelt.de/expose/b4eb76f0-5724-4c61-87d6-7b6be1183e69
"Innenstadt, Coburg (96450)",270.000 € 2.250 €/m²,4 Zimmer,120 m²,EG,https://www.immowelt.de/expose/f21b5841-ff0a-4f53-8f28-2a346ed7a676
"Innenstadt, Coburg Stadt (96450)",693.000 € 2.475 €/m²,8 Zimmer,280 m²,Unknown,https://www.immowelt.de/expose/a2b5424c-03a8-4e60-a25d-cb1d2b91c026
"Goldbergstraße 37, Neuses, Coburg (96450)",320.000 € 2.667 €/m²,120 m²,859 m² Grundstück,Unknown,https://www.immowelt.de/expose/e8a59034-febf-42b7-8d03-6de131bf5c11
"Innenstadt, Coburg (96450)",490.000 € 1.099 €/m²,16 Zimmer,446 m²,516 m² Grundstück,https://www.immowelt.de/expose/8ce8002c-e696-4951-a46d-1490751afea0
"Innenstadt, Coburg (96450)",178.000 € 1.113 €/m²,8 Zimmer,160 m²,Unknown,https://www.immowelt.de/expose/9204f102-38c7-4367-af95-d7e7bc6d7cd0
"Innenstadt, Coburg (96450)",385.000 € 3.632 €/m²,5 Zimmer,106 m²,600 m² Grundstück,https://www.immowelt.de/expose/93678bde-e14a-4480-9298-03b6524011e0
"Beiersdorf, Coburg (96450)",Preis auf Anfrage,5 Zimmer,190 m²,850 m² Grundstück,https://www.immowelt.de/expose/2d94b5a5-4e43-4f43-b82b-a3b62e02051c
"Cortendorf, Coburg / Cortendorf (96450)",198.500 € 3.349 €/m²,2 Zimmer,"59,3 m²",2. Geschoss,https://www.immowelt.de/expose/bd9cd7d4-c4f8-40b2-a755-e725a8f39c3f
"Innenstadt, Coburg (96450)",116.000 € 3.222 €/m²,1 Zimmer,36 m²,1. Geschoss,https://www.immowelt.de/expose/00b3e9d4-e35e-43e9-aeaf-c437a0e467a5
"Innenstadt, Coburg (96450)",125.000 € 2.155 €/m²,2 Zimmer,58 m²,Unknown,https://www.immowelt.de/expose/a4824dab-055a-4d64-ac3e-5c36d48f3818
"Rögen, Coburg (96450)",375.000 € 2.446 €/m²,5 Zimmer,"153,3 m²",938 m² Grundstück,https://www.immowelt.de/expose/e8568668-75c4-4604-be96-ff9959d11d78
"Innenstadt, Coburg (96450)",240.000 € 3.000 €/m²,3 Zimmer,80 m²,2. Geschoss,https://www.immowelt.de/expose/c39eeda8-ea56-4901-93d6-119341425766
"Neuses, Coburg (96450)",495.000 € 2.415 €/m²,205 m²,Unknown,Unknown,https://www.immowelt.de/expose/086f47c2-699d-4326-92e8-319a32a10193
"Kanonenweg xxx, Innenstadt, Coburg (96450)",495.000 € 2.419 €/m²,"204,6 m²",479 m² Grundstück,Unknown,https://www.immowelt.de/expose/7ee11b32-4aaf-4f77-be0b-1d5a3bccd8a8
"Innenstadt, Coburg (96450)",140.000 € 2.029 €/m²,3 Zimmer,69 m²,Unknown,https://www.immowelt.de/expose/2c792c2e-0d6b-4b07-ab37-dee3619ae4dc
"Innenstadt, Coburg (96450)",475.000 € 2.039 €/m²,7 Zimmer,233 m²,731 m² Grundstück,https://www.immowelt.de/expose/4fc0d927-3ac6-4a07-8084-564352d50a86
"Innenstadt, Coburg (96450)",226.880 € 4.366 €/m²,2 Zimmer,52 m²,EG,https://www.immowelt.de/expose/2cbf14c2-3c32-41bb-9167-36830c88ed4a
